10.21.6.10,21,6,10
10.13.1.1,13,1,1
10.38.8.20,38,8,20
10.19.2.10,19,2,10
10.11.3.1,11,3,1
10.16.6.20,16,6,20
10.37.6.1,37,6,1
10.10.4.1,10,4,1
10.20.6.1,20,6,1
10.15.6.1,15,6,1
10.30.5.1,30,5,1
10.24.1.10,24,1,10
10.34.1.10,34,1,10
10.11.7.20,11,7,20
10.12.9.100,12,9,100
10.12.8.100,12,8,100
10.37.4.1,37,4,1
10.31.6.1,31,6,1
10.37.3.1,37,3,1
10.36.6.10,36,6,10
10.35.8.20,35,8,20
10.28.2.20,28,2,20
10.24.2.10,24,2,10
10.19.3.20,19,3,20
10.29.3.20,29,3,20
10.20.2.10,20,2,10
10.27.4.20,27,4,20
10.30.9.100,30,9,100
10.28.6.1,28,6,1
10.16.9.10,16,9,10
10.17.5.100,17,5,100
10.31.3.20,31,3,20
10.22.7.100,22,7,100
10.24.5.10,24,5,10
10.26.9.100,26,9,100
10.10.3.10,10,3,10
10.18.3.20,18,3,20
10.26.6.10,26,6,10
10.39.5.20,39,5,20
10.19.4.100,19,4,100
10.35.2.1,35,2,1
10.29.7.20,29,7,20
10.23.8.100,23,8,100
10.30.5.10,30,5,10
10.16.4.100,16,4,100
10.39.3.10,39,3,10
10.26.8.20,26,8,20
10.14.8.100,14,8,100
10.10.6.20,10,6,20
10.33.5.10,33,5,10
10.17.8.20,17,8,20
10.15.6.20,15,6,20
10.13.3.20,13,3,20
10.20.9.20,20,9,20
10.15.2.1,15,2,1
10.22.3.20,22,3,20
10.34.4.20,34,4,20
10.12.5.1,12,5,1
10.11.4.1,11,4,1
10.28.9.10,28,9,10
10.26.4.10,26,4,10
10.26.5.100,26,5,100
10.24.8.20,24,8,20
10.38.9.10,38,9,10
10.13.2.20,13,2,20
10.28.5.100,28,5,100
10.28.9.1,28,9,1
10.36.2.10,36,2,10
10.27.4.10,27,4,10
10.19.5.20,19,5,20
10.38.4.10,38,4,10
10.24.9.10,24,9,10
10.35.9.10,35,9,10
10.14.8.10,14,8,10
10.38.7.1,38,7,1
10.18.4.1,18,4,1
10.38.3.20,38,3,20
10.21.3.1,21,3,1
10.39.7.20,39,7,20
10.35.8.10,35,8,10
10.31.2.10,31,2,10
10.15.5.1,15,5,1
10.13.4.20,13,4,20
10.33.1.100,33,1,100
10.31.5.1,31,5,1
10.28.8.1,28,8,1
10.20.9.1,20,9,1
10.12.2.20,12,2,20
10.37.1.1,37,1,1
10.19.6.10,19,6,10
10.33.4.1,33,4,1
10.39.8.10,39,8,10
10.26.3.1,26,3,1
10.14.7.100,14,7,100
10.29.4.10,29,4,10
10.27.9.20,27,9,20
10.22.9.10,22,9,10
10.34.7.100,34,7,100
10.39.4.20,39,4,20
10.24.2.1,24,2,1
10.16.2.10,16,2,10
10.18.3.100,18,3,100
10.22.3.100,22,3,100
10.19.7.1,19,7,1
10.39.7.1,39,7,1
10.27.6.10,27,6,10
10.10.5.1,10,5,1
10.39.4.1,39,4,1
10.30.8.100,30,8,100
10.23.4.100,23,4,100
10.11.8.1,11,8,1
10.21.8.100,21,8,100
10.12.1.1,12,1,1
10.23.6.10,23,6,10
10.15.1.20,15,1,20
10.11.2.10,11,2,10
10.14.6.10,14,6,10
10.30.1.100,30,1,100
10.22.7.1,22,7,1
10.38.5.20,38,5,20
10.31.1.20,31,1,20
10.30.8.20,30,8,20
10.24.6.100,24,6,100
10.38.2.10,38,2,10
10.21.7.100,21,7,100
10.14.1.20,14,1,20
10.38.3.1,38,3,1
10.23.7.20,23,7,20
10.10.1.10,10,1,10
10.11.5.20,11,5,20
10.31.2.100,31,2,100
10.34.3.100,34,3,100
10.22.7.20,22,7,20
10.18.5.10,18,5,10
10.39.6.20,39,6,20
10.20.4.10,20,4,10
10.14.3.20,14,3,20
10.17.8.1,17,8,1
10.15.4.20,15,4,20
10.26.7.10,26,7,10
10.34.5.1,34,5,1
10.28.2.100,28,2,100
10.30.1.1,30,1,1
10.18.2.1,18,2,1
10.18.1.20,18,1,20
10.38.9.1,38,9,1
10.32.1.10,32,1,10
10.25.3.10,25,3,10
10.32.8.20,32,8,20
10.18.8.1,18,8,1
10.13.1.20,13,1,20
10.13.8.10,13,8,10
10.37.1.100,37,1,100
10.21.8.10,21,8,10
10.33.3.1,33,3,1
10.28.7.100,28,7,100
10.18.5.1,18,5,1
10.29.5.10,29,5,10
10.19.9.10,19,9,10
10.13.6.1,13,6,1
10.37.6.20,37,6,20
10.38.6.1,38,6,1
10.30.9.1,30,9,1
10.33.1.20,33,1,20
10.10.9.10,10,9,10
10.16.8.10,16,8,10
10.22.4.100,22,4,100
10.26.2.20,26,2,20
10.21.5.20,21,5,20
10.34.7.20,34,7,20
10.17.9.20,17,9,20
10.18.7.20,18,7,20
10.11.6.20,11,6,20
10.33.4.100,33,4,100
10.20.7.100,20,7,100
10.37.9.1,37,9,1
10.22.8.100,22,8,100
10.20.5.100,20,5,100
10.38.9.20,38,9,20
10.11.9.100,11,9,100
10.27.7.20,27,7,20
10.32.5.10,32,5,10
10.13.3.10,13,3,10
10.27.5.1,27,5,1
10.32.2.10,32,2,10
10.36.1.1,36,1,1
10.29.8.10,29,8,10
10.18.3.1,18,3,1
10.17.3.20,17,3,20
10.22.9.1,22,9,1
10.12.9.10,12,9,10
10.16.6.1,16,6,1
10.17.7.100,17,7,100
10.20.4.100,20,4,100
10.34.6.10,34,6,10
10.13.2.100,13,2,100
10.17.7.1,17,7,1
10.35.3.1,35,3,1
10.16.4.1,16,4,1
10.29.9.1,29,9,1
10.14.2.10,14,2,10
10.25.1.10,25,1,10
10.33.8.100,33,8,100
10.17.6.20,17,6,20
10.21.7.20,21,7,20
10.30.1.20,30,1,20
10.33.5.1,33,5,1
10.31.7.100,31,7,100
10.14.1.10,14,1,10
10.13.5.10,13,5,10
10.10.9.20,10,9,20
10.10.9.1,10,9,1
10.28.3.10,28,3,10
10.29.9.10,29,9,10
10.25.4.10,25,4,10
10.26.1.10,26,1,10
10.20.3.10,20,3,10
10.11.3.10,11,3,10
10.10.2.100,10,2,100
10.17.4.1,17,4,1
10.31.4.10,31,4,10
10.36.3.20,36,3,20
10.16.8.100,16,8,100
10.21.4.100,21,4,100
10.18.4.20,18,4,20
10.18.4.100,18,4,100
10.37.5.20,37,5,20
10.12.5.100,12,5,100
10.21.9.1,21,9,1
10.26.2.1,26,2,1
10.32.9.20,32,9,20
10.13.5.1,13,5,1
10.11.6.100,11,6,100
10.30.6.1,30,6,1
10.20.8.10,20,8,10
10.24.1.20,24,1,20
10.14.4.100,14,4,100
10.20.5.20,20,5,20
10.11.9.20,11,9,20
10.38.2.20,38,2,20
10.29.5.20,29,5,20
10.25.6.1,25,6,1
10.38.4.100,38,4,100
10.27.3.10,27,3,10
10.18.1.100,18,1,100
10.14.3.1,14,3,1
10.23.4.10,23,4,10
10.19.8.100,19,8,100
10.34.6.100,34,6,100
10.33.8.20,33,8,20
10.15.3.10,15,3,10
10.39.8.20,39,8,20
10.10.5.100,10,5,100
10.23.3.100,23,3,100
10.37.8.20,37,8,20
10.37.5.100,37,5,100
10.32.9.1,32,9,1
10.25.6.100,25,6,100
10.28.9.100,28,9,100
10.39.7.10,39,7,10
10.35.2.20,35,2,20
10.21.4.1,21,4,1
10.22.1.1,22,1,1
10.37.8.1,37,8,1
10.39.6.100,39,6,100
10.22.4.1,22,4,1
10.22.1.10,22,1,10
10.35.4.10,35,4,10
10.39.5.1,39,5,1
10.24.3.1,24,3,1
10.21.8.1,21,8,1
10.15.1.1,15,1,1
10.19.5.10,19,5,10
10.23.2.20,23,2,20
10.23.3.1,23,3,1
10.13.9.10,13,9,10
10.29.2.20,29,2,20
10.36.3.10,36,3,10
10.35.9.100,35,9,100
10.28.8.100,28,8,100
10.14.4.1,14,4,1
10.36.5.1,36,5,1
10.14.5.20,14,5,20
10.18.9.1,18,9,1
10.20.1.10,20,1,10
10.24.1.100,24,1,100
10.21.7.10,21,7,10
10.10.3.1,10,3,1
10.14.6.20,14,6,20
10.21.6.1,21,6,1
10.35.7.20,35,7,20
10.22.2.10,22,2,10
10.25.8.10,25,8,10
10.25.4.1,25,4,1
10.10.2.10,10,2,10
10.30.2.20,30,2,20
10.33.8.1,33,8,1
10.25.5.10,25,5,10
10.34.6.20,34,6,20
10.37.7.10,37,7,10
10.19.7.20,19,7,20
10.35.9.1,35,9,1
10.12.3.1,12,3,1
10.34.4.10,34,4,10
10.11.1.100,11,1,100
10.34.3.1,34,3,1
10.21.7.1,21,7,1
10.15.9.10,15,9,10
10.17.5.10,17,5,10
10.10.5.10,10,5,10
10.11.8.10,11,8,10
10.34.8.20,34,8,20
10.32.5.100,32,5,100
10.16.5.100,16,5,100
10.26.7.1,26,7,1
10.14.9.10,14,9,10
10.32.4.1,32,4,1
10.17.4.20,17,4,20
10.38.1.10,38,1,10
10.18.1.1,18,1,1
10.25.3.1,25,3,1
10.21.2.10,21,2,10
10.39.8.100,39,8,100
10.29.8.100,29,8,100
10.13.5.20,13,5,20
10.10.7.10,10,7,10
10.34.5.10,34,5,10
10.39.3.20,39,3,20
10.34.8.1,34,8,1
